032021285004500023038700011032021201900010030723000000186725000074069600019200007                      03PMH PRODUTOS MEDICOS HOSPITALARES LTDA                      00000000000000000000004110320213390302811561050600003          00000000000000000000000000000000000000000000000000000000000020192850014250007         
032021285004500104038700014122021202100010055611000000018000000074069600019200001                      03PMH PRODUTOS MEDICOS HOSPITALARES LTDA                      00000000000000000000004141220213390302811561050600001          00000000000000000000000000000000000000000000000000000000000020212850032050099         
032021285008500039062500008032021201700036000436000000260356350006539100012200007                      04OLIVEIRA MELO-ENGENHARIA E CONSTRUCOES LTDA                 00000000000000000000004080320214490510612321999901002          00000000000000000000000000000000000000000000000000000000000020212850002720001         
032021285008500042062500008032021200900036001900000000647110650006539100012200007                      04OLIVEIRA MELO-ENGENHARIA E CONSTRUCOES LTDA                 00000000000000000000004080320214490510612321999901002          00000000000000000000000000000000000000000000000000000000000020212850002780001         
032021285008500041062500008032021200900036001900000000163716020006539100012200007                      04OLIVEIRA MELO-ENGENHARIA E CONSTRUCOES LTDA                 00000000000000000000004080320214490510612321999901002          00000000000000000000000000000000000000000000000000000000000020212850002760001         
032021285008500061041000029062021201700036000436000000330979530006539100012200007                      04OLIVEIRA MELO-ENGENHARIA E CONSTRUCOES LTDA                 00000000000000000000004290620214490510612321999901002          00000000000000000000000000000000000000000000000000000000000020212850013130001         
032021285008500060062500029062021202100036005884000000411498440006539100012200005                      04OLIVEIRA MELO-ENGENHARIA E CONSTRUCOES LTDA                 00000000000000000000004290620214490510612321999901001          00000000000000000000000000000000000000000000000000000000000020212850013120010         
032021285008500044062500008032021200900036001900000000092869110006539100012200007                      04OLIVEIRA MELO-ENGENHARIA E CONSTRUCOES LTDA                 00000000000000000000004080320214490510612321999901002          00000000000000000000000000000000000000000000000000000000000020212850002800001         
032021285008500062062500002072021202100036005884000000411498440006539100012200007                      04OLIVEIRA MELO-ENGENHARIA E CONSTRUCOES LTDA                 00000000000000000000004020720214490510612321999901001          00000000000000000000000000000000000000000000000000000000000020212850013120001         
032021285008500043062500008032021200900036001900000000021657450006539100012200007                      04OLIVEIRA MELO-ENGENHARIA E CONSTRUCOES LTDA                 00000000000000000000004080320214490510612321999901002          00000000000000000000000000000000000000000000000000000000000020212850002790001         
032021285008500040062500008032021201700036000436000003573828230006539100012200007                      04OLIVEIRA MELO-ENGENHARIA E CONSTRUCOES LTDA                 00000000000000000000004080320214490510612321999901002          00000000000000000000000000000000000000000000000000000000000020212850002730001         
032021285008500082062500020122021200900036001900000001005213160006539100012200007                      04OLIVEIRA MELO-ENGENHARIA E CONSTRUCOES LTDA                 00000000000000000000004201220214490510612321999901001          00000000000000000000000000000000000000000000000000000000000020212850033080001         
032021285008500076061700012112021202100036010480000000286904600006539100012200001                      04OLIVEIRA MELO-ENGENHARIA E CONSTRUCOES LTDA                 00000000000000000000004121120214490923012321999901001          00000000000000000000000000000000000000000000000000000000000020212850029520010         
032021285001200168041000031052021202100010021012000000001753180053049300017100001                      03FUNDO NACIONAL DE SAUDE                                     00000000000000000000004310520213390930800000000000001          00000000000000000000000000000000000000000000000000000000000020212850009080099         
032021285006400127037600022022021201900010023927000000398049120176525400016300007                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004220220213390300911561020100003          00000000000000000000000000000000000000000000000000000000000020202850014230007         
032021285005200048047000022022021201900010023927000000013280480176525400016300007                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004220220213390300911561020100003          00000000000000000000000000000000000000000000000000000000000020202850026460007         
032021285006400131037300022022021201900010023927000000006232310176525400016300007                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004220220213390300911561020100003          00000000000000000000000000000000000000000000000000000000000020202850026480007         
032021285005200047047000022022021201900010023927000000544661800176525400016300007                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004220220213390300911561020100003          00000000000000000000000000000000000000000000000000000000000020202850014210007         
032021285006400364037600009092021201900010023927000000168905250176525400016300007                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004090920213390300911561020100003          00000000000000000000000000000000000000000000000000000000000020212850022320007         
032021285006400330037600031082021201900010023927000000189191090176525400016300007                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004310820213390300911561020100003          00000000000000000000000000000000000000000000000000000000000020212850022320007         
032021285006400126037300022022021201900010023927000000255602000176525400016300007                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004220220213390300911561020100003          00000000000000000000000000000000000000000000000000000000000020202850014220007         
032021285006400128037600022022021201900010023927000000009705700176525400016300007                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004220220213390300911561020100003          00000000000000000000000000000000000000000000000000000000000020202850026470007         
032021285001200238041000031082021201900010023927000000258903150176525400016300007                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004310820213390300911561020100003          00000000000000000000000000000000000000000000000000000000000020212850022330007         
032021285006400329037300031082021201900010023927000000121494300176525400016300007                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004310820213390300911561020100003          00000000000000000000000000000000000000000000000000000000000020212850022310007         
032021285001200244047000009092021201900010023927000000135903350176525400016300007                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004090920213390300911561020100003          00000000000000000000000000000000000000000000000000000000000020212850022330007         
032021285000800208041000024032021202100010012501000000259898320140958000013800002                      01ESTADO DE GOIAS                                             00000000000000000000004240320213190111300000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032021285000800362041000025052021202100010022062000000257019890140958000013800002                      01ESTADO DE GOIAS                                             00000000000000000000004250520213190111300000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
