032023285014100008062300023112023202300010002785000000200000000104961800010900001                      03MATERNIDADE DR ADALBERTO PEREIRA DA SILVA                   00000000000000000000004231120233350411300000000000001          00000000000000000000000000000000000000000000000000000000000020232850042080099         
032023285006600094041000031012023202200010065464000000086480000157170200019800001                      03HALEX ISTAR INDUSTRIA FARMACEUTICA LTDA                     00000000000000000000004310120233390302611561050100001          00000000000000000000000000000000000000000000000000000000000020232850002620007         
032023285004700004062500027122023201300010002212000001248692710006539100012200007                      04OLIVEIRA MELO-ENGENHARIA E CONSTRUCOES LTDA                 00000000000000000000004271220234490510612321999901001          00000000000000000000000000000000000000000000000000000000000020232850046180010         
032023285001600236041000015052023202200010054662000000508500000165016700016000007                      03ITA EMPRESA DE TRANSPORTES LTDA                             00000000000000000000004150520233390330400000000000001          00000000000000000000000000000000000000000000000000000000000020232850020600007         
032023285001600237041000015052023202200010054662000000508500000165016700016000007                      03ITA EMPRESA DE TRANSPORTES LTDA                             00000000000000000000004150520233390330400000000000003          00000000000000000000000000000000000000000000000000000000000020232850020600007         
032023285001200216041000022112023202300010000005000000015000000121980700018200019                      01PREFEITURA MUNICIPAL DE URUACU                              00000000000000000000004221120233190960300000000000003          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032023285001600192041000016032023202300010008444000000001905800252874300016400001                      03COPEL COMERCIAL DE PECAS LTDA                               00000000000000000000004160320233390305111561012900001          00000000000000000000000000000000000000000000000000000000000020232850010520007         
032023285001600110041000003022023202300010004615000000016363313787867500014800001                      03ALFA PAPELARIA EIRELI - EPP                                 00000000000000000000004030220233390301511561070100001          00000000000000000000000000000000000000000000000000000000000020232850006170007         
032023285011300001041000029092023202300010048568000000168133810053049300017100001                      04FUNDO NACIONAL DE SAUDE                                     00000000000000000000004290920234490930200000000000001          00000000000000000000000000000000000000000000000000000000000020232850037820099         
032023285005700001041000024012023202200010057493000000005000000053049300017100001                      04FUNDO NACIONAL DE SAUDE                                     00000000000000000000004240120234490930200000000000003          00000000000000000000000000000000000000000000000000000000000020232850003520099         
032023285004800001041000024012023202200010059567000000010000000053049300017100001                      04FUNDO NACIONAL DE SAUDE                                     00000000000000000000004240120234490930200000000000001          00000000000000000000000000000000000000000000000000000000000020232850003170099         
032023285011900001041000018122023202300010066974000000373676180053049300017100001                      03FUNDO NACIONAL DE SAUDE                                     00000000000000000000004181220233390930200000000000001          00000000000000000000000000000000000000000000000000000000000020232850045740099         
032023285004000717041000027122023202300010066974000003070459100053049300017100001                      03FUNDO NACIONAL DE SAUDE                                     00000000000000000000004271220233390930200000000000001          00000000000000000000000000000000000000000000000000000000000020232850045730099         
032023285006700034041100012042023202300010014946000000015795001715922900017600001                      03LABORATORIO TEUTO BRASILEIRO LTDA                           00000000000000000000004120420233390320811561050800001          00000000000000000000000000000000000000000000000000000000000020232850015250007         
032023285004500053037300020012023201900010023927000000250424500176525400016300007                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004200120233390300911561020100003          00000000000000000000000000000000000000000000000000000000000020232850002770007         
032023285001600027047000020012023201900010023927000000273030000176525400016300007                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004200120233390300911561020100003          00000000000000000000000000000000000000000000000000000000000020232850002780007         
032023285001600321037600006092023201900010023927000000191389580176525400016300007                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004060920233390300911561020100003          00000000000000000000000000000000000000000000000000000000000020232850032730007         
032023285004500001065600011012023201900010023927000000087980900176525400016300007                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004110120233390300911561020100003          00000000000000000000000000000000000000000000000000000000000020232850000320007         
032023285004500054037600020012023201900010023927000000229556090176525400016300007                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004200120233390300911561020100003          00000000000000000000000000000000000000000000000000000000000020232850002790007         
032023285004000318047000009052023202200010037384000000236227200176525400016300007                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004090520233390300911561020100003          00000000000000000000000000000000000000000000000000000000000020222850030280007         
032023285004500168041000016032023202300010000948000001116215040176525400016300007                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004160320233390300911561020100003          00000000000000000000000000000000000000000000000000000000000020232850001790005         
032023285004500304047000010082023201900010023927000000093099600176525400016300007                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004100820233390300911561020100003          00000000000000000000000000000000000000000000000000000000000020232850026460007         
032023285004500186041000018042023202300010000948000001010468350176525400016300007                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004180420233390300911561020100003          00000000000000000000000000000000000000000000000000000000000020232850001790099         
032023285004500218037300009052023202200010037384000000129082070176525400016300007                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004090520233390300911561020100003          00000000000000000000000000000000000000000000000000000000000020222850030290007         
032023285001600320047000005092023201900010023927000000020452940176525400016300007                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004050920233390300911561020100003          00000000000000000000000000000000000000000000000000000000000020232850002780007         
032023285001600246065600023052023202300010016920000000148094830176525400016300001                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004230520233390390700000000000001          00000000000000000000000000000000000000000000000000000000000020232850021610010         
032023285004500303037600010082023201900010023927000000038994780176525400016300007                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004100820233390300911561020100003          00000000000000000000000000000000000000000000000000000000000020232850026460007         
032023285001600252065600025052023202300010016920000000148094830176525400016300001                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004250520233390300911561020100001          00000000000000000000000000000000000000000000000000000000000020232850021610010         
032023285004500272047000025072023201900010023927000000172660090176525400016300007                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004250720233390300911561020100001          00000000000000000000000000000000000000000000000000000000000020232850026460007         
032023285004500354037600005092023201900010023927000000023660070176525400016300007                      03KENTIS SERVICOS DE ALIMENTACAO LTDA                         00000000000000000000004050920233390300911561020100003          00000000000000000000000000000000000000000000000000000000000020232850002790007         
032023285001200019041000012012023202300010000005000108000000000140958000013800002                      01ESTADO DE GOIAS                                             00000000000000000000004120120233190111300000000000003          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032023285001600085041000001022023201200010014715000006000000000140958000013800001                      03ESTADO DE GOIAS                                             00000000000000000000004010220233390470200000000000003          00000000000000000000000000000000000000000000000000000000000020232850005430099         
032023285001200018041000012012023202300010000005000007200000000140958000013800002                      01ESTADO DE GOIAS                                             00000000000000000000004120120233190111300000000000003          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032023285001600346041000006122023201200010014715000001500000000140958000013800001                      03ESTADO DE GOIAS                                             00000000000000000000004061220233390470200000000000001          00000000000000000000000000000000000000000000000000000000000020232850044210099         
032023285004000621041000003102023202300004078588000000003421960140965500018000001                      03SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004031020233390911700000000000001          00000000000000000000000000000000000000000000000000000000000020232850037870099         
032023285006600359047500014042023202300004028001000000011891260140965500018000001                      03SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004140420233390910811561050700001          00000000000000000000000000000000000000000000000000000000000020232850016140099         
032023285004000615041000029092023202300004071362000000013270240140965500018000001                      03SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004290920233390911700000000000001          00000000000000000000000000000000000000000000000000000000000020232850037850099         
032023285006600360047500014042023202300004028001000000011891260140965500018000001                      03SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004140420233390911700000000000001          00000000000000000000000000000000000000000000000000000000000020232850016140099         
032023285001200041041000012012023202300010000005000000008400000252996400015700017                      01SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004120120233190161100000000000003          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032023285001200037041000012012023202300010000005000002400000000252996400015700019                      01SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004120120233190920700000000000003          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032023285001200047041000013012023202300010000005000001097438470252996400015700019                      01SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004130120233190914000000000000003          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032023285001200039041000012012023202300010000005000000006000000252996400015700019                      01SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004120120233190160700000000000003          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032023285001200033041000012012023202300010000005000021600000000252996400015700017                      01SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004120120233190161000000000000003          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032023285001200024041000012012023202300010000005000000072000000252996400015700016                      01SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004120120233190111900000000000003          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032023285001200042041000012012023202300010000005000000240000000252996400015700019                      01SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004120120233190161100000000000003          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032023285001200009041000012012023202300010000005000001800000000252996400015700017                      01SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004120120233190110100000000000003          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032023285001200032041000012012023202300010000005000038400000000252996400015700018                      01SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004120120233190112000000000000003          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032023285001200036041000012012023202300010000005000000240000000252996400015700017                      01SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004120120233190920700000000000003          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032023285001200028041000012012023202300010000005000000001575360252996400015700019                      01SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004120120233190160800000000000003          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032023285001200029041000012012023202300010000005000009600000000252996400015700017                      01SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004120120233190111000000000000003          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032023285001500002041000013012023202300010000005000020400000000252996400015700019                      03SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004130120233390460100000000000003          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032023285001200017041000012012023202300010000005000000324000000252996400015700019                      01SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004120120233190110900000000000003          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032023285001200014041000012012023202300010000005000039600000000252996400015700019                      01SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004120120233190110300000000000003          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032023285007200002041600016012023202300010000005000000324000000252996400015700001                      03SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004160120233390364300000000000003          00000000000000000000000000000000000000000000000000000000000020232850000470099         
