032015285002000072041000024022015201500010002431000000194282290140965500018000016                      01SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004240220153190111300000000000001          00000000000000000000000000000000000000000000000000000000000020152850003390099         
032015285002000438041000027102015201500010021269000000208390660140965500018000016                      01SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004271020153190111300000000000001          00000000000000000000000000000000000000000000000000000000000020152850016140099         
032015285002000437041000027102015201500010021269000000000172060140965500018000018                      01SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004271020153190111300000000000001          00000000000000000000000000000000000000000000000000000000000020152850016140099         
032015285002000328041000027082015201500010016626000000000266310140965500018000018                      01SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004270820153190111300000000000001          00000000000000000000000000000000000000000000000000000000000020152850013090099         
032015285002000488041000026112015201500010023625000000229318080140965500018000016                      01SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004261120153190111300000000000001          00000000000000000000000000000000000000000000000000000000000020152850017140099         
032015285002000158041000028042015201500010007184000004459354610140965500018000018                      01SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004280420153190111300000000000001          00000000000000000000000000000000000000000000000000000000000020152850007180099         
032015285002000112041000027032015201500010004611000004732443830140965500018000018                      01SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004270320153190111300000000000001          00000000000000000000000000000000000000000000000000000000000020152850005690099         
032015285002000114041000027032015201500010004611000000000616340140965500018000018                      01SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004270320153190111300000000000001          00000000000000000000000000000000000000000000000000000000000020152850005690099         
032015285002000159041000028042015201500010007184000000175910640140965500018000016                      01SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004280420153190111300000000000001          00000000000000000000000000000000000000000000000000000000000020152850007180099         
032015285002000200041000026052015201500010009922000004786182420140965500018000018                      01SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004260520153190111300000000000001          00000000000000000000000000000000000000000000000000000000000020152850008730099         
032015285002000202041000026052015201500010009922000000000172060140965500018000018                      01SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004260520153190111300000000000001          00000000000000000000000000000000000000000000000000000000000020152850008730099         
032015285002000330041000027082015201500010016626000004627362270140965500018000018                      01SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004270820153190111300000000000001          00000000000000000000000000000000000000000000000000000000000020152850013090099         
032015285002000313041000028072015201500010014501000000219880000140965500018000016                      01SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004280720153190111300000000000001          00000000000000000000000000000000000000000000000000000000000020152850011910099         
032015285002000241041000026062015201500010011899000004633515570140965500018000018                      01SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004260620153190111300000000000001          00000000000000000000000000000000000000000000000000000000000020152850010480099         
032015285002000390041000025092015201500010018733000004836612270140965500018000018                      01SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004250920153190111300000000000001          00000000000000000000000000000000000000000000000000000000000020152850014190099         
032015285002000544041000028122015201500010025317000004865468950140965500018000018                      01SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004281220153190111300000000000001          00000000000000000000000000000000000000000000000000000000000020152850019320099         
032015285002000543041000028122015201500010025317000000274624210140965500018000016                      01SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004281220153190111300000000000001          00000000000000000000000000000000000000000000000000000000000020152850019320099         
032015285002000542041000028122015201500010025317000000000172060140965500018000018                      01SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004281220153190111300000000000001          00000000000000000000000000000000000000000000000000000000000020152850019320099         
032015285002000487041000026112015201500010023625000000000172060140965500018000018                      01SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004261120153190111300000000000001          00000000000000000000000000000000000000000000000000000000000020152850017140099         
032015285002000201041000026052015201500010009922000000184312800140965500018000016                      01SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004260520153190111300000000000001          00000000000000000000000000000000000000000000000000000000000020152850008730099         
032015285002000312041000028072015201500010014501000005147170530140965500018000018                      01SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004280720153190111300000000000001          00000000000000000000000000000000000000000000000000000000000020152850011910099         
032015285002000314041000028072015201500010014501000000000344120140965500018000018                      01SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004280720153190111300000000000001          00000000000000000000000000000000000000000000000000000000000020152850011910099         
032015285002000242041000026062015201500010011899000000181334490140965500018000016                      01SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004260620153190111300000000000001          00000000000000000000000000000000000000000000000000000000000020152850010480099         
032015285002000243041000026062015201500010011899000000000378460140965500018000018                      01SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004260620153190111300000000000001          00000000000000000000000000000000000000000000000000000000000020152850010480099         
032015285002000389041000025092015201500010018733000000213339290140965500018000016                      01SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004250920153190111300000000000001          00000000000000000000000000000000000000000000000000000000000020152850014190099         
