032010285101300054000000006082010200900010013195000000010530003787867500014800001                      03ALFA PAPELARIA EIRELI - EPP                                 00000000000000000000004060820103390301500000000401011          00000000000000000000000000000000000000000000000000000000000000000001010380007         
032010285101300018000000030042010201000010007378000000003397160140965500018000001                      03SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004300420103390470700000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300011000000025022010201000010003110000000006427740140965500018000001                      03SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004250220103390470700000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300041000000030062010201000010011839000000000945400140965500018000001                      03SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004300620103390470700000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300028000000031052010201000010009582000000001141190140965500018000001                      03SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004310520103390470700000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300001000000027012010201000010001083000000007726320140965500018000001                      03SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004270120103390470700000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300024000000031052010201000010009582000000001215250140965500018000001                      03SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004310520103390470700000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300012000000029032010201000010005622000000003492650140965500018000001                      03SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004290320103390470700000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300052000000003082010201000010013947000000000710980140965500018000001                      03SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004030820103390470700000000000001          00000000000000000000000000000000000000000000000000000000000000000001375570099         
032010285101300059000000027082010201000010015854000000000830160140965500018000001                      03SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004270820103390470700000000000001          00000000000000000000000000000000000000000000000000000000000000000001404070099         
032010285101300066000000026102010201000010019872000000000944970140965500018000001                      03SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004261020103390470700000000000001          00000000000000000000000000000000000000000000000000000000000000000001462900099         
032010285101300073000000026112010201000010022200000000001576670140965500018000001                      03SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004261120103390470700000000000001          00000000000000000000000000000000000000000000000000000000000000000001490420099         
032010285101300061000000029092010201000010017868000000000899970140965500018000001                      03SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004290920103390470700000000000001          00000000000000000000000000000000000000000000000000000000000000000001439560099         
032010285101300077000000017122010201000010023680000000000844350140965500018000001                      03SECRETARIA DE ESTADO DA ECONOMIA                            00000000000000000000004171220103390470700000000000001          00000000000000000000000000000000000000000000000000000000000000000001511840099         
032010285101300058000000027082010201000010015854000000000618740252996400015700001                      03SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004270820103390470400000000000001          00000000000000000000000000000000000000000000000000000000000000000001404060099         
032010285101300064000000029092010201000010017868000000014425230252996400015700001                      03SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004290920103390362100000000000001          00000000000000000000000000000000000000000000000000000000000000000001439550099         
032010285101300072000000026112010201000010022200000000002442280252996400015700001                      03SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004261120103390470400000000000001          00000000000000000000000000000000000000000000000000000000000000000001490370099         
032010285101300063000000029092010201000010017868000000000948150252996400015700001                      03SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004290920103390470400000000000001          00000000000000000000000000000000000000000000000000000000000000000001439550099         
032010285101300076000000017122010201000010023680000000002217930252996400015700001                      03SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004171220103390470300000000000001          00000000000000000000000000000000000000000000000000000000000000000001511830099         
032010285101300078000000017122010201000010023680000000004383070252996400015700001                      03SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004171220103390470400000000000001          00000000000000000000000000000000000000000000000000000000000000000001511830099         
032010285101300057000000027082010201000010015854000000000302850252996400015700001                      03SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004270820103390470300000000000001          00000000000000000000000000000000000000000000000000000000000000000001404060099         
032010285101300062000000029092010201000010017868000000000489490252996400015700001                      03SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004290920103390470300000000000001          00000000000000000000000000000000000000000000000000000000000000000001439550099         
032010285101300069000000026102010201000010019872000000014251630252996400015700001                      03SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004261020103390362100000000000001          00000000000000000000000000000000000000000000000000000000000000000001462870099         
032010285101300075000000017122010201000010023680000000002217930252996400015700001                      03SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004171220103390470300000000000001          00000000000000000000000000000000000000000000000000000000000000000001511830099         
032010285101300067000000026102010201000010019872000000000391400252996400015700001                      03SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004261020103390470300000000000001          00000000000000000000000000000000000000000000000000000000000000000001462870099         
032010285101300056000000027082010201000010015854000000013585390252996400015700001                      03SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004270820103390362100000000000001          00000000000000000000000000000000000000000000000000000000000000000001404060099         
032010285101300071000000026112010201000010022200000000001326950252996400015700001                      03SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004261120103390470300000000000001          00000000000000000000000000000000000000000000000000000000000000000001490370099         
032010285101300074000000017122010201000010023680000000026767720252996400015700001                      03SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004171220103390362100000000000001          00000000000000000000000000000000000000000000000000000000000000000001511830099         
032010285101300065000000029092010201000010017868000000000030910252996400015700001                      03SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004290920103390362100000000000001          00000000000000000000000000000000000000000000000000000000000000000001439550099         
032010285101300070000000026112010201000010022200000000022573380252996400015700001                      03SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004261120103390362100000000000001          00000000000000000000000000000000000000000000000000000000000000000001490370099         
032010285101300068000000026102010201000010019872000000000735880252996400015700001                      03SECRETARIA DE ESTADO DA SAUDE                               00000000000000000000004261020103390470400000000000001          00000000000000000000000000000000000000000000000000000000000000000001462870099         
032010285101300023000000031052010201000010009582000000000356000054496300015600001                      03FUNDO ESTADUAL DE SAUDE - FES                               00000000000000000000004310520103390362100000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300040000000030062010201000010011839000000000386400054496300015600001                      03FUNDO ESTADUAL DE SAUDE - FES                               00000000000000000000004300620103390362100000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300008000000025022010201000010003110000000002763152997903600642400001                      03INSTITUTO NACIONAL DO SEGURO SOCIAL                         00000000000000000000004250220103390470300000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300013000000029032010201000010005622000000006688932997903600642400001                      03INSTITUTO NACIONAL DO SEGURO SOCIAL                         00000000000000000000004290320103390470300000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300003000000027012010201000010001083000000028179282997903600642400001                      03INSTITUTO NACIONAL DO SEGURO SOCIAL                         00000000000000000000004270120103390470400000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300007000000025022010201000010003110000000009795502997903600642400001                      03INSTITUTO NACIONAL DO SEGURO SOCIAL                         00000000000000000000004250220103390470300000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300009000000025022010201000010003110000000018369962997903600642400001                      03INSTITUTO NACIONAL DO SEGURO SOCIAL                         00000000000000000000004250220103390470400000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300002000000027012010201000010001083000000014450062997903600642400001                      03INSTITUTO NACIONAL DO SEGURO SOCIAL                         00000000000000000000004270120103390470300000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300010000000025022010201000010003110000000005149802997903600642400001                      03INSTITUTO NACIONAL DO SEGURO SOCIAL                         00000000000000000000004250220103390470400000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300016000000030042010201000010007378000000011617672997903600642400001                      03INSTITUTO NACIONAL DO SEGURO SOCIAL                         00000000000000000000004300420103390470400000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300014000000029032010201000010005622000000012733712997903600642400001                      03INSTITUTO NACIONAL DO SEGURO SOCIAL                         00000000000000000000004290320103390470400000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300017000000030042010201000010007378000000006108102997903600642400001                      03INSTITUTO NACIONAL DO SEGURO SOCIAL                         00000000000000000000004300420103390470300000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300033000000030062010200900010005907000000250000000156760100014300005                      03UNIVERSIDADE FEDERAL DE GOIAS                               00000000000000000000004300620103370411400000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300032000000029062010200900010005908000000220155410156760100014300005                      03UNIVERSIDADE FEDERAL DE GOIAS                               00000000000000000000004290620103370411400000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300030000000028062010200900010005911000000230000000156760100014300005                      03UNIVERSIDADE FEDERAL DE GOIAS                               00000000000000000000004280620103370411400000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300031000000028062010200900010005909000000155885600156760100014300005                      03UNIVERSIDADE FEDERAL DE GOIAS                               00000000000000000000004280620103370411400000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300029000000028062010200900010005906000000350000000156760100014300005                      03UNIVERSIDADE FEDERAL DE GOIAS                               00000000000000000000004280620103370411400000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300079000000020122010201000010020810000000006800000107141400017400001                      03ESTANCIA PARK HOTEL                                         00000000000000000000004201220103390391100000000000001          00000000000000000000000000000000000000000000000000000000000000000001509300005         
032010285101200001000000008092010200800010015344000000000565920445175800010500001                      03VICOM COMERCIO LTDA                                         00000000000000000000004080920103390391800000000000001          00000000000000000000000000000000000000000000000000000000000000000000667750005         
032010285101200002000000008092010200800010015344000000004422320445175800010500001                      03VICOM COMERCIO LTDA                                         00000000000000000000004080920103390303300000000401181          00000000000000000000000000000000000000000000000000000000000000000000667750005         
032010285101300042000000019072010200900010012296000000002799410324366800015800001                      03DENTAL UNIVERSITARIO COMERCIO DE PRODUTOS ODONTOLOGICOS EIRE00000000000000000000004190720103390302900000000401131          00000000000000000000000000000000000000000000000000000000000000000001010550005         
032010285101300026000000031052010201000010009582000000000786140788048100011600001                      03FUNDO ESPECIAL DE GESTAO DA ESCOLA DE SAUDE PUBLICA CANDIDO 00000000000000000000004310520103390470300000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300019000000030042010201000010007378000000077597740788048100011600001                      03FUNDO ESPECIAL DE GESTAO DA ESCOLA DE SAUDE PUBLICA CANDIDO 00000000000000000000004300420103390362100000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300027000000031052010201000010009582000000001471220788048100011600001                      03FUNDO ESPECIAL DE GESTAO DA ESCOLA DE SAUDE PUBLICA CANDIDO 00000000000000000000004310520103390470400000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300015000000029032010201000010005622000000080823420788048100011600001                      03FUNDO ESPECIAL DE GESTAO DA ESCOLA DE SAUDE PUBLICA CANDIDO 00000000000000000000004290320103390362100000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300021000000031052010201000010009582000000003686120788048100011600001                      03FUNDO ESPECIAL DE GESTAO DA ESCOLA DE SAUDE PUBLICA CANDIDO 00000000000000000000004310520103390470300000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300034000000030062010201000010011839000000013493600788048100011600001                      03FUNDO ESPECIAL DE GESTAO DA ESCOLA DE SAUDE PUBLICA CANDIDO 00000000000000000000004300620103390362100000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300035000000030062010201000010011839000000001666400788048100011600001                      03FUNDO ESPECIAL DE GESTAO DA ESCOLA DE SAUDE PUBLICA CANDIDO 00000000000000000000004300620103390470300000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300038000000030062010201000010011839000000000799660788048100011600001                      03FUNDO ESPECIAL DE GESTAO DA ESCOLA DE SAUDE PUBLICA CANDIDO 00000000000000000000004300620103390470300000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300004000000027012010201000010001083000000164326620788048100011600001                      03FUNDO ESPECIAL DE GESTAO DA ESCOLA DE SAUDE PUBLICA CANDIDO 00000000000000000000004270120103390362100000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300006000000025022010201000010003110000000050460150788048100011600001                      03FUNDO ESPECIAL DE GESTAO DA ESCOLA DE SAUDE PUBLICA CANDIDO 00000000000000000000004250220103390362100000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300045000000027072010201000010004509000000004960000788048100011600001                      03FUNDO ESPECIAL DE GESTAO DA ESCOLA DE SAUDE PUBLICA CANDIDO 00000000000000000000004270720103390140100000000000003          00000000000000000000000000000000000000000000000000000000000000000001206500099         
032010285101300053000000003082010201000010013947000000000400400788048100011600001                      03FUNDO ESPECIAL DE GESTAO DA ESCOLA DE SAUDE PUBLICA CANDIDO 00000000000000000000004030820103390470300000000000001          00000000000000000000000000000000000000000000000000000000000000000001375550099         
032010285101300047000000003082010201000010013947000000000728000788048100011600001                      03FUNDO ESPECIAL DE GESTAO DA ESCOLA DE SAUDE PUBLICA CANDIDO 00000000000000000000004030820103390470400000000000001          00000000000000000000000000000000000000000000000000000000000000000001375550099         
032010285101100002000000016072010201000010004508000000004960000788048100011600001                      03FUNDO ESPECIAL DE GESTAO DA ESCOLA DE SAUDE PUBLICA CANDIDO 00000000000000000000004160720103390140100000000000003          00000000000000000000000000000000000000000000000000000000000000000001266610099         
032010285101300043000000026072010201000010004507000000004960000788048100011600001                      03FUNDO ESPECIAL DE GESTAO DA ESCOLA DE SAUDE PUBLICA CANDIDO 00000000000000000000004260720103390140100000000000003          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032010285101300049000000003082010201000010013947000000012014600788048100011600001                      03FUNDO ESPECIAL DE GESTAO DA ESCOLA DE SAUDE PUBLICA CANDIDO 00000000000000000000004030820103390362100000000000001          00000000000000000000000000000000000000000000000000000000000000000001375560099         
032010285101100001000000016072010201000010004511000000004960000788048100011600001                      03FUNDO ESPECIAL DE GESTAO DA ESCOLA DE SAUDE PUBLICA CANDIDO 00000000000000000000004160720103390140100000000000003          00000000000000000000000000000000000000000000000000000000000000000001266110099         
032010285101300044000000026072010201000010004507000000004960000788048100011600001                      03FUNDO ESPECIAL DE GESTAO DA ESCOLA DE SAUDE PUBLICA CANDIDO 00000000000000000000004260720103390140100000000000003          00000000000000000000000000000000000000000000000000000000000000000001206450099         
