032024285018900021062300023052024202400010004778000000200000000104961800010900001                      04MATERNIDADE DR ADALBERTO PEREIRA DA SILVA                   00000000000000000000004230520244450420500000000000001          00000000000000000000000000000000000000000000000000000000000020242850022340099         
032024285018600057062300014052024202400010005293000000050000000104961800010900001                      03MATERNIDADE DR ADALBERTO PEREIRA DA SILVA                   00000000000000000000004140520243350411300000000000001          00000000000000000000000000000000000000000000000000000000000020242850019780099         
032024285018600167062300003072024202400010004898000000150000000104961800010900001                      03MATERNIDADE DR ADALBERTO PEREIRA DA SILVA                   00000000000000000000004030720243350411300000000000001          00000000000000000000000000000000000000000000000000000000000020242850021560099         
032024285018900043062300016122024202400010084546000000100000000104961800010900001                      04MATERNIDADE DR ADALBERTO PEREIRA DA SILVA                   00000000000000000000004161220244450420500000000000001          00000000000000000000000000000000000000000000000000000000000020242850055120099         
032024285018600182062300018102024202400010004898000000150000000104961800010900001                      03MATERNIDADE DR ADALBERTO PEREIRA DA SILVA                   00000000000000000000004181020243350411300000000000001          00000000000000000000000000000000000000000000000000000000000020242850048500099         
032024285001200022041000018012024202200010054662000000810000000165016700016000007                      03ITA EMPRESA DE TRANSPORTES LTDA                             00000000000000000000004180120243390330400000000000003          00000000000000000000000000000000000000000000000000000000000020232850020600007         
032024285000700057041000026012024202300010045679000000004031480226416600014000019                      01PREFEITURA MUNIICIPAL DE SANTA BARBARA DE GOIAS             00000000000000000000004260120243190923100000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032024285000700227041000023042024202400010008436000000009000000226416600014000019                      01PREFEITURA MUNIICIPAL DE SANTA BARBARA DE GOIAS             00000000000000000000004230420243190960300000000000003          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032024285000700399041000026082024202400010008436000000005142200226416600014000019                      01PREFEITURA MUNIICIPAL DE SANTA BARBARA DE GOIAS             00000000000000000000004260820243190960300000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032024285000700489041000025092024202400010008436000000010000000226416600014000019                      01PREFEITURA MUNIICIPAL DE SANTA BARBARA DE GOIAS             00000000000000000000004250920243190960300000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032024285000700125041000026022024202400010008436000000001542660226416600014000019                      01PREFEITURA MUNIICIPAL DE SANTA BARBARA DE GOIAS             00000000000000000000004260220243190960300000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032024285000700134041000027022024202300010060933000000023222120121980700018200019                      01PREFEITURA MUNICIPAL DE URUACU                              00000000000000000000004270220243190923100000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032024285000700494041000025092024202400010010971000000045000000121980700018200019                      01PREFEITURA MUNICIPAL DE URUACU                              00000000000000000000004250920243190960300000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032024285000700141041000021032024202400010010971000000006934020121980700018200019                      01PREFEITURA MUNICIPAL DE URUACU                              00000000000000000000004210320243190960300000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032024285000700273041000022052024202400010010971000000042000000121980700018200019                      01PREFEITURA MUNICIPAL DE URUACU                              00000000000000000000004220520243190960300000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032024285000700138041000027022024202400010010971000000006922980121980700018200019                      01PREFEITURA MUNICIPAL DE URUACU                              00000000000000000000004270220243190960300000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032024285000700002041000015012024202300010045736000000023770680106730500018300019                      01PREFEITURA MUNICIPAL DE LEOPOLDO DE BULHOES                 00000000000000000000004150120243190923100000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032024285000700502041000017102024202400010008377000000069000000106730500018300019                      01PREFEITURA MUNICIPAL DE LEOPOLDO DE BULHOES                 00000000000000000000004171020243190960300000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032024285000700158041000021032024202400010008377000000013767680106730500018300019                      01PREFEITURA MUNICIPAL DE LEOPOLDO DE BULHOES                 00000000000000000000004210320243190960300000000000001          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032024285000700219041000023042024202400010008377000000028000000106730500018300019                      01PREFEITURA MUNICIPAL DE LEOPOLDO DE BULHOES                 00000000000000000000004230420243190960300000000000003          00000000000000000000000000000000000000000000000000000000000000000000000000099         
032024285018600138062300023052024202400010005055000000050000000115450900015100001                      03ASSOCIACAO LAR DE SANTANA DE INHUMAS                        00000000000000000000004230520243350411300000000000001          00000000000000000000000000000000000000000000000000000000000020242850022440099         
032024285019500003041000025042024202400010024942000001698002110053049300017100001                      04FUNDO NACIONAL DE SAUDE                                     00000000000000000000004250420244490930800000000000001          00000000000000000000000000000000000000000000000000000000000020242850014430099         
032024285019500002041000025042024202400010025286000002283000000053049300017100001                      04FUNDO NACIONAL DE SAUDE                                     00000000000000000000004250420244490930800000000000001          00000000000000000000000000000000000000000000000000000000000020242850014420099         
032024285009300002041000018072024202400010025286000000064621780053049300017100001                      04FUNDO NACIONAL DE SAUDE                                     00000000000000000000004180720244490930800000000000001          00000000000000000000000000000000000000000000000000000000000020242850030950099         
032024285008800001041000026072024202400010040384000000192572700053049300017100001                      04FUNDO NACIONAL DE SAUDE                                     00000000000000000000004260720244490930800000000000003          00000000000000000000000000000000000000000000000000000000000020242850035810099         
032024285009300001041000011072024202400010024942000000031551820053049300017100001                      04FUNDO NACIONAL DE SAUDE                                     00000000000000000000004110720244490930800000000000001          00000000000000000000000000000000000000000000000000000000000020242850028710099         
032024285018300002080000018032024202300010021511000000145217370053049300017100001                      04FUNDO NACIONAL DE SAUDE                                     00000000000000000000004180320244490930200000000000001          00000000000000000000000000000000000000000000000000000000000020242850007560099         
032024285018300003080000024042024202300010021511000000002055540053049300017100001                      04FUNDO NACIONAL DE SAUDE                                     00000000000000000000004240420244490930200000000000001          00000000000000000000000000000000000000000000000000000000000020242850013940099         
032024285017300002041000026072024202400010040384000002332427300053049300017100001                      04FUNDO NACIONAL DE SAUDE                                     00000000000000000000004260720244490930800000000000003          00000000000000000000000000000000000000000000000000000000000020242850035810099         
032024285018600064062300016052024202400010005056000000050000000231224700017900001                      03SOCIEDADE INHUMENSE DE ASSIST A MENORES E ANCIAOS           00000000000000000000004160520243350411300000000000001          00000000000000000000000000000000000000000000000000000000000020242850020770099         
